population,name,country,region,longitude,latitude
431147,Vancouver,CA,British Columbia,-123,49.2
306728,Hamilton,CA,Ontario,-79.8,43.3
177641,Saskatoon,CA,Saskatchewan,-106.8,42.2
169587,Basel,CH,,7.6,47.6
246671,Aachen,DE,Nordrhein-Westfalen,6.10,50.77
72000,Bayreuth,DE,Bayern,11.6,49.95
30000,Biberach an der Riss,DE,Baden-Wuerttemberg,9.8,48.15
324674,Bielefeld,DE,Nordrhein-Westfalen,8.53,52.03
401058,Bochum,DE,Nordrhein-Westfalen,7.18,51.47
256267,Braunschweig,DE,Niedersachsen,10.50,52.25
139754,Darmstadt,DE,Hessen,8.65,49.87
179000,Freiburg,DE,Baden-Wuerttemberg,7.8,47.95
73705,Giessen,DE,Hessen,8.70,50.58
128419,Goettingen,DE,Niedersachsen,9.95,51.53
295372,Halle/Saale,DE,Sachsen-Anhalt,11.97,51.47
524823,Hannover,DE,Niedersachsen,9.73,52.38
43000,Homburg,DE,Saarland,7.25,49.3
100093,Jena,DE,Thueringen,11.58,50.93
